METRO_AREA,STATE,LAT,LON,TOTAL,NAT_RES,CONSTRUCTION,DURABLE,NONDURABLE,RETAIL,TRANSPORT,INFORMATION,FINANCE,BUSINESS,SOCIAL,ARTS_ENT,GOVERNMENT,OTHER
Hattiesburg,MS,31.3271189,-89.2903392,-0.5,-0.28,-0.06,0.44,-0.17,0.28,-0.15,-0.01,-1.03,0.44,0.43,-0.06,-0.07,-0.28
Hickory-Lenoir-Morganton,NC,35.741527,-81.337262,0.7,0.01,-0.21,0.11,0.19,0.28,0.06,-0.08,-0.03,0.2,0.21,0.05,0.02,-0.12
Hilton Head Island-Bluffton-Beaufort,SC,32.214827,-80.851328,1.8,0.05,-0.01,-0.04,0,0.77,0.06,-0.17,0.2,0.46,0.27,0.35,-0.04,-0.09
Hinesville,GA,31.846877,-81.5959453,-0.6,(D),(D),0.17,0.62,0.18,0.07,0.07,-0.11,-0.16,0.15,-0.05,-0.07,-1.4
Homosassa Springs,FL,28.8037059,-82.5761369,-7.5,-0.25,-0.09,(D),(D),0.9,-7.39,-0.18,0.18,-0.49,-0.4,-0.05,0.04,-0.03
Hot Springs,AR,34.5037004,-93.0551795,-0.8,-0.13,-0.58,-0.1,-0.13,0.35,0.07,0.18,-0.26,-0.27,0.19,0.02,0.06,-0.15
Houma-Thibodaux,LA,29.7932776,-90.8218815,-1.8,-1.13,-0.37,0.38,0.33,0.2,-1.71,-0.02,0.26,0.1,0.33,0.11,0.03,-0.27
Houston-The Woodlands-Sugar Land,TX,29.6834997,-95.1001456,1.8,0.22,0.09,0.15,-1.26,0.84,-0.03,0.02,0.23,1.1,0.14,0.1,0.11,0.04
Huntington-Ashland,WV,38.4191169,-82.4284084,2.7,0.36,-0.09,(D),(D),-0.07,-0.24,-0.06,-0.54,(D),0.11,(D),0.06,-0.1
Huntsville,AL,34.7199895,-86.5792427,1.5,-0.03,0.03,0.69,0.07,0.18,0.04,0,0.04,0.35,0.22,0,0.04,-0.09
Idaho Falls,ID,43.4960363,-112.0286365,2,(D),-0.16,(D),(D),0.55,0.23,0.05,-0.61,-0.15,0.33,0.1,0.08,0
Indianapolis-Carmel-Anderson,IN,40.0286729,-86.0675107,0.9,-0.2,-0.38,0.08,0.49,0.29,-0.19,0.04,(D),0.28,0,-0.01,(D),-0.09
Iowa City,IA,41.4628682,-91.8375442,0.8,-0.58,-0.11,0.05,-0.47,-0.11,-0.23,0.16,1.42,0.17,0.17,0.09,0.04,0.21
Ithaca,NY,42.4439614,-76.5018807,-1.2,0.11,-0.19,0.27,0.13,-0.17,-0.09,0.07,-0.41,0.37,-1.56,0.08,0.17,0.01
Jackson,MI,42.2390881,-84.4160226,2,-0.14,0.09,0.3,0.48,1,-0.28,0.02,0.07,0.15,0.32,0.03,0,-0.07
Jackson,MS,32.2088423,-89.9673143,0.1,-0.58,0.03,0.04,0.03,-0.03,-0.03,0.27,0.64,-0.07,0.03,-0.03,-0.03,-0.19
Jackson,TN,35.6145169,-88.8139469,-0.2,-0.28,0.28,-0.13,0.05,-0.06,(D),(D),-0.22,(D),-0.04,0.01,-0.02,-0.04
Jacksonville,FL,30.3659072,-81.5945895,2.9,-0.07,0.13,0.07,-0.06,-0.08,0.46,0.24,0.73,0.73,0.38,0.26,0.19,-0.09
Jacksonville,NC,34.7540524,-77.4302414,-2.5,-0.11,-0.25,-0.06,0.01,0.03,-0.06,-0.02,-0.34,-0.15,-0.02,0.05,0.06,-1.64
Janesville-Beloit,WI,42.496418,-89.0365355,0.2,0.8,-0.62,0.58,0.03,0.15,0.17,0.69,0.83,-1.28,-1.03,-0.05,-0.03,-0.06
Jefferson City,MO,38.5767017,-92.1735164,-1.9,-0.42,-0.32,0.37,-0.46,0.2,-0.81,-0.58,-0.22,0.3,0.06,0,0.07,-0.13
Johnson City,TN,36.3698796,-82.2945753,0.4,0,-0.51,0.21,0.2,0.31,0,0.28,0.5,-0.21,0.02,-0.12,-0.19,-0.07
Johnstown,PA,40.3267407,-78.9219698,-1.7,-1.28,-0.11,0.25,-0.07,0.05,-0.48,0.01,0.03,0.16,0.01,-0.07,-0.09,-0.14
Jonesboro,AR,35.8422967,-90.704279,-0.6,-0.17,-0.12,0.42,-0.3,0.57,0.01,0.16,-1.46,-0.33,0.84,0.01,-0.07,-0.17
Joplin,MO,37.0842271,-94.513281,-0.9,-0.34,0.03,0.02,-0.16,(D),(D),0.03,-0.04,0.32,-0.02,0.01,-0.1,-0.05
Kahului-Wailuku-Lahaina,HI,20.8896639,-156.6585253,-2.1,-0.28,-0.47,-0.01,-0.06,-0.04,-0.24,-0.02,-0.51,-0.06,-0.03,-0.61,-0.06,0.27
Kalamazoo-Portage,MI,42.128628,-85.5884615,0.5,-0.16,0.06,0.45,-0.31,0.34,-0.08,0.12,-0.02,0.4,-0.15,-0.03,0,-0.07
Kankakee,IL,41.1182743,-87.9606891,0,-0.83,-0.15,0.2,0.35,0.09,0.24,-0.03,0.22,0.02,0.04,0.06,0.01,-0.22
Kansas City,MO,38.627705,-94.604189,2,-0.06,0,0.1,-0.07,0.59,0.07,0.16,0.22,0.81,0.18,0.04,0.02,-0.09
Kennewick-Richland,WA,46.208135,-119.138601,0.1,-0.64,-0.25,0.1,-0.42,0.4,0.19,-0.03,-0.06,0.06,0.47,0.07,0.08,0.12
Killeen-Temple,TX,31.0971922,-97.3431767,0.3,-0.02,0.44,0.11,-0.01,0.61,-0.15,-0.3,-0.02,-0.19,0.21,0.07,-0.09,-0.36
Kingsport-Bristol-Bristol,TN,36.6043724,-82.1617885,-2,-0.04,-0.23,-0.42,-0.43,-0.45,0.29,0.12,-0.98,0.21,-0.03,-0.03,0.01,-0.01
Kingston,NY,41.9266579,-73.9829943,0.2,-0.1,0.41,-0.13,0.05,(D),(D),-0.13,-0.64,0.07,0.26,-0.19,-0.12,0.01
Knoxville,TN,36.0757417,-83.952088,1,0.02,-0.15,0.08,0.08,0.25,0.11,0.4,(D),0.46,0.26,0.01,(D),-0.04
Kokomo,IN,40.486427,-86.1336033,-0.3,-0.27,0,-0.55,0.02,0.01,-0.23,0.01,-0.19,0.36,0.66,-0.1,0.02,-0.08
La Crosse-Onalaska,WI,43.949552,-91.246366,0.3,-0.06,-0.03,-0.37,0.08,0.62,0.28,-0.08,-0.43,0.08,0.11,0.03,0.11,-0.04
Lafayette,LA,30.2240897,-92.0198427,-3.4,-3.88,-0.14,0.47,0.15,0.58,-0.38,0.04,-0.64,0.41,0.15,0.03,0.04,-0.26
Lafayette-West Lafayette,IN,30.170216,-92.0684552,1.6,-0.37,0.02,1.26,-0.01,0.1,0.13,-0.12,0.58,0.39,-0.2,0.05,(D),-0.2
Lake Charles,LA,30.2332007,-93.0136301,10.3,-0.3,3.76,(D),(D),0.32,-0.34,0,-0.81,0.31,0.27,0.12,(D),-0.28
Lake Havasu City-Kingman,AZ,34.474063,-114.3441143,1.5,0.19,-0.41,0,0.17,0.43,-0.16,0.18,0.04,0.24,0.48,0.1,0.34,-0.08
Lakeland-Winter Haven,FL,28.0435001,-81.6305953,-0.8,-1.21,0.02,0.38,-0.05,0.36,0.39,0.09,-1.6,0.13,0.32,0.25,0.15,-0.02
Lancaster,PA,40.0081859,-75.2912277,2.1,-0.16,-0.28,0.09,0.18,0.71,0.14,0.16,0.37,0.42,0.32,0.07,0.11,-0.07
Lansing-East Lansing,MI,42.767184,-84.9951314,1.7,-0.06,-0.02,-0.27,-0.02,0.14,0.19,-0.81,2.48,0.25,-0.12,0.01,0.04,-0.13
Laredo,TX,28.8198693,-97.8462571,3.7,2.97,-0.19,0.03,-0.04,0.28,-0.23,0.12,0.01,0.18,0.16,0.19,0.11,0.13
Las Cruces,NM,32.2706148,-106.7359624,0.7,0.06,-0.49,0.03,-0.09,0.07,-0.06,-0.14,1.29,0.09,0.35,-0.16,0.08,-0.31
Las Vegas-Henderson-Paradise,NV,36.0318813,-115.0972814,2,0.03,0.15,0.02,0.03,0.52,-0.07,0.13,0.43,0.28,0.25,0.23,0.05,-0.06
Lawrence,KS,39.0459645,-95.2195762,1,-0.21,-0.14,0.14,-0.04,-0.44,-0.12,-0.21,1,0.78,-0.08,0.24,0.32,-0.23
Lawton,OK,34.6035669,-98.3959291,-1.5,(D),-0.29,0.03,-0.15,0.3,(D),0.1,-1.16,0.4,-0.13,(D),-0.02,-0.59
Lebanon,PA,40.3409251,-76.4113497,-0.6,0.16,-0.08,-0.04,-0.41,-1.86,1.13,0.01,-0.02,0.35,0.31,0.01,-0.04,-0.14
Lewiston,ID,46.40296,-117.030899,2.2,0.27,-0.16,1.32,0.2,0.28,(D),-0.02,0.34,(D),0.09,0.15,0.11,0.06
Lewiston-Auburn,ME,44.0875654,-70.2238319,-0.3,-0.03,-0.51,-0.03,-0.18,(D),(D),-0.29,-2.87,1.86,0.83,0.01,0.02,-0.04
Lexington-Fayette,KY,37.991807,-84.1778624,0,-0.01,0.1,0.53,0.13,0.17,0.08,0.11,-1.55,0.43,0.14,0.07,0.01,-0.22
Lima,OH,40.7155003,-84.1053954,4.5,-0.09,-0.09,-0.06,5.28,-0.04,0.09,-0.05,-0.08,0.09,-0.44,-0.08,0,-0.08
Lincoln,NE,40.5810117,-74.1120165,0.8,-0.19,0,0.37,-0.32,0.24,-0.07,0.09,0.08,0.11,0.2,0.17,0.05,0.05
Little Rock-North Little Rock-Conway,AR,35.0842885,-92.4215416,-0.7,-0.14,-0.26,-0.04,-0.04,0.11,-0.27,-0.1,-0.08,0.15,0.09,0.03,0.06,-0.27
Logan,UT,41.6343825,-111.8664057,3,0.53,-0.12,0.66,0.13,0.42,-0.03,(D),0.56,(D),0.26,0.18,0.01,0.07
Longview,TX,32.5024114,-94.7325405,3.3,2.13,-0.07,0.08,0.2,0.07,0.24,0.11,0.4,0.24,-0.01,-0.01,-0.12,0.04
Longview,WA,46.1297873,-122.9246643,3.6,0.18,0.45,0.21,-0.24,1.19,0.25,-0.13,1.03,0.39,0.02,0.23,-0.09,0.09
Los Angeles-Long Beach-Anaheim,CA,34.0727308,-118.3722409,2.3,-0.13,-0.07,0.17,0.21,0.36,-0.05,0.07,0.4,0.64,0.19,0.25,0.05,0.16
Louisville/Jefferson County,KY,38.2289975,-85.6873419,2.4,(D),0.14,(D),0.17,0.2,0.17,0.15,0.94,0.31,0.07,0.19,(D),-0.13
Lubbock,TX,33.5899001,-101.8261136,2.8,0.94,-0.13,0.05,-0.05,0.73,0.16,-0.23,0.45,(D),(D),0.09,0.05,0.13
Lynchburg,VA,37.4137536,-79.1422464,-1.1,0.01,-0.43,0.12,-0.47,(D),(D),0.03,(D),(D),-0.01,0,0,0.03
Macon,GA,32.8325029,-83.6347879,1.8,0.11,-0.23,-0.13,0.2,(D),0.17,0.33,-0.11,1.04,0.04,(D),0.14,-0.06
Madera,CA,36.9613356,-120.0607176,-1,-2.54,0,0.18,0.45,0.27,0.29,0.1,-0.29,-0.11,0.12,0.11,0.11,0.31
Madison,WI,43.0928628,-89.3603597,0.1,0.13,-0.11,0.18,-0.23,0.24,0.09,0.52,-1.59,1.53,-0.69,0.06,0.02,-0.06
Manchester-Nashua,NH,42.7668585,-71.4672852,2.9,0.01,-0.01,0.4,0.08,0.36,-0.09,1.2,-0.31,0.88,0.32,0.1,-0.02,-0.02
Manhattan,KS,39.4414488,-96.5059047,0.2,(D),-0.34,0.21,0.29,0.45,(D),-0.2,-0.14,0.77,-0.07,0.05,0.17,-0.24
Mankato-North Mankato,MN,44.4153337,-94.2508636,0.4,-0.79,0.01,-0.09,0.13,(D),(D),0.19,-0.18,0.26,0.5,-0.03,0.04,0.11
Mansfield,OH,40.4002941,-82.4853789,1,-0.1,0.23,0.61,-0.43,0.48,0.17,-0.25,-0.09,0.41,0.06,0.03,0.03,-0.14
McAllen-Edinburg-Mission,TX,26.2187847,-98.3710765,2.5,0.13,0,0.16,-0.09,1.06,0.12,0.19,0.12,0.09,0.36,0.11,0.1,0.14
Medford,OR,42.3291568,-122.8765399,3.3,0.06,-0.02,0.12,0.07,0.41,0.22,-0.22,1.02,0.33,0.87,0.18,0.03,0.24
Memphis,TN,35.1436944,-90.0473739,0.4,-0.12,-0.01,(D),(D),0.21,-0.33,0.01,0.26,0.25,0.07,0.11,0.01,-0.06
Merced,CA,37.3021632,-120.4829677,-1,-1.77,0,0.06,0.96,(D),(D),-0.05,-0.43,-0.13,0.15,0.14,0.05,0.35
Miami-Fort Lauderdale-West Palm Beach,FL,26.6789966,-80.1428276,3,-0.07,0.2,0.08,0.04,0.36,-0.06,0.16,1.1,0.79,0.3,0.1,0.09,-0.03
Michigan City-La Porte,IN,41.7075394,-86.8950297,-1.6,-0.71,-0.37,-0.51,0.84,(D),(D),-0.04,-0.6,0.23,-0.35,-0.11,0.1,-0.13
Midland,MI,43.5740652,-84.3455084,4.4,0.02,-0.13,0.16,-1.37,-0.02,0.26,-0.09,0.1,4.56,0.8,0.15,0.06,-0.04
Midland,TX,31.9951684,-102.0912807,24.1,(D),0.07,(D),0.25,1.04,0.15,-0.04,0.31,(D),-0.03,0.17,(D),0.02
Milwaukee-Waukesha-West Allis,WI,43.1462027,-87.9242055,0.8,0.08,0.07,-0.11,-0.02,0.04,-0.13,0.07,0.33,0.34,0.02,0.12,0.01,-0.03
Minneapolis-St. Paul-Bloomington,MN,44.9770115,-93.308351,2,0,0.05,0.36,0.4,0.37,-0.09,0.05,-0.47,0.81,0.31,0.06,0.05,0.07
Missoula,MT,46.8769801,-113.8855519,1.1,(D),0.04,0.05,0.08,0.66,-0.2,(D),-0.03,0.59,0.23,-0.06,0.15,0
Mobile,AL,33.8168163,-84.388139,0,2.27,1.18,7.42,-0.63,1.96,-4.65,-0.01,-13.64,1.16,3.92,0.5,0.66,-0.16
Modesto,CA,37.6392718,-120.9994855,1.1,-0.79,-0.11,0.02,0.33,0.23,0.09,0.01,-0.09,0.33,0.58,0.18,0.13,0.24
Monroe,LA,32.8209128,-92.6347353,2.8,(D),0.14,(D),(D),0.13,-0.33,1.04,2.4,-0.12,0.8,0.21,0.09,-0.48
Monroe,MI,41.9156949,-83.3982055,0.1,-0.01,0.72,-0.49,0.31,(D),(D),0,-0.55,0.38,-0.11,-0.12,0.14,-0.04
Montgomery,AL,32.3668052,-86.2999689,-1.8,-0.05,-0.42,0.11,0,-0.16,-0.04,0.03,-1.11,-0.1,-0.05,0.02,0,-0.05
Morgantown,WV,39.6400415,-79.9590339,4.9,2.26,-0.02,0.05,0.24,1.31,0.17,0.02,0.02,0.51,0.31,0.08,0.02,-0.09
Morristown,TN,36.2152786,-83.3043654,0.7,0.16,-0.09,0.12,0.66,-0.19,0.18,0.01,-0.09,0,-0.05,0.08,-0.03,-0.03
Mount Vernon-Anacortes,WA,48.6454559,-122.2159416,5.9,-0.42,0.29,0.27,4.79,0.24,0.05,0.02,-0.21,0.39,0.37,0.02,-0.06,0.13
Muncie,IN,40.1933767,-85.3863599,-0.9,-0.52,-0.07,0.03,-0.07,0.36,0.09,-0.03,-0.32,0.38,-0.49,-0.02,-0.04,-0.2
Muskegon,MI,43.2386972,-86.2532957,1.5,-0.12,-0.24,0.23,-0.15,0.65,-0.18,0.07,0,0.46,0.77,0.05,0.04,-0.07
Myrtle Beach-Conway-North Myrtle Beach,SC,33.617278,-78.979039,0.5,0.08,-0.23,0.09,0,0.03,0.14,-0.03,-0.11,0.5,0.57,-0.63,0.12,0.02
Napa,CA,38.2869869,-122.243591,4,-0.52,0.79,0.14,1.33,-0.01,-0.01,0.07,1.44,0.03,0.22,0.3,0.02,0.22
Naples-Immokalee-Marco Island,FL,26.2736143,-81.6515499,5.6,-0.47,0.77,0.18,-0.02,0.99,0.08,0.06,3.84,-0.5,0.05,0.48,0.16,-0.02
Nashville-Davidson--Murfreesboro--Franklin,TN,35.9273487,-86.8657236,3.6,0.1,0.03,(D),(D),0.53,0.12,0.14,0.74,0.91,0.53,0.27,0.13,-0.03
New Bern,NC,35.108493,-77.0441143,-1.1,-0.26,-0.19,-0.22,-0.1,0.23,-0.02,-0.04,(D),0.37,0.01,-0.02,(D),-0.69
New Haven-Milford,CT,41.2223798,-73.0566909,0.3,0.01,-0.08,-0.43,-0.37,0.22,0.02,-0.24,-0.4,1.3,0.19,0,-0.03,0.06
New Orleans-Metairie,LA,30.4729321,-90.0369127,1.7,-0.43,-0.33,-0.12,2.74,0.16,-0.41,-0.21,-0.18,(D),0.37,0.15,(D),-0.35
New York-Newark-Jersey City,NY,40.8841688,-72.4235684,2.4,(D),(D),-0.02,(D),0.24,(D),0.32,1.11,(D),0.16,0.16,0.02,0
Niles-Benton Harbor,MI,42.1866917,-86.2606844,1.1,-0.35,-0.09,0.59,0.27,0.98,-0.18,0.09,-0.86,0.4,0.01,0.23,0.03,-0.06
North Port-Sarasota-Bradenton,FL,27.0662929,-82.1082876,3.7,-0.25,0.45,0.1,-0.04,0.71,0.19,0.14,0.28,1.02,0.52,0.37,0.17,-0.02
Norwich-New London,CT,41.534914,-72.0545738,0.7,0.01,0.04,0.33,-0.11,0.14,0.61,-0.14,-0.32,0.02,-0.04,-0.03,0.07,0.14
Ocala,FL,29.181889,-82.1370015,3.6,-0.11,0.1,0.16,-0.19,0.13,0.19,0.04,-0.16,0.64,2.46,0.26,0.09,-0.03
Ocean City,NJ,39.2776156,-74.5746001,-2.4,(D),-0.12,0.01,0.24,0.15,-0.06,-0.25,-2.62,0.07,0.08,0.23,-0.02,-0.08
Odessa,TX,31.8465734,-102.3683865,6.3,0.74,0.15,0.54,-0.37,0.38,0.87,-0.02,2.34,0.57,0.33,0.41,0.31,0.05
Ogden-Clearfield,UT,41.1000581,-112.0326776,3.9,(D),0.33,0.53,1.15,0.34,(D),-0.04,0.95,0.06,0.36,0.06,(D),-0.03
Oklahoma City,OK,35.473621,-97.512516,2.6,0.63,-0.15,0.15,0.47,0.29,0.86,0.14,-0.39,0.23,0.26,0.09,0.05,-0.07
Olympia-Tumwater,WA,46.9819584,-122.9075565,1,-0.03,0.13,-0.04,-0.01,0.11,-0.07,0.09,-0.06,0.31,0.3,-0.03,0.08,0.25
Omaha-Council Bluffs,NE,41.4749249,-96.2016186,2.4,-0.22,0.01,0.15,-0.03,0.3,1.36,(D),0.18,0.74,-0.16,0.01,(D),0.01
Orlando-Kissimmee-Sanford,FL,28.5383355,-81.3792365,3.4,-0.04,0.16,0.13,0.01,0.83,0.11,0.24,0.52,0.52,0.35,0.48,0.09,-0.02
Oshkosh-Neenah,WI,44.1102356,-88.712504,-0.1,-0.02,-0.04,-0.83,0.45,0.13,0.08,-0.06,0,0.27,-0.01,0,-0.04,-0.04
Owensboro,KY,37.7719074,-87.1111676,-1.4,-0.5,-0.35,0.22,0,0.09,-0.27,0.05,-0.82,-0.12,0.32,-0.06,0.19,-0.18
Oxnard-Thousand Oaks-Ventura,CA,34.2778,-118.7106375,0.5,-1.09,0.04,0.06,0.01,0.27,-0.13,0.17,0.76,0,0.21,0.06,0.03,0.15
Palm Bay-Melbourne-Titusville,FL,28.1281838,-80.6644859,1,0.02,0.15,1.01,-0.15,0.86,-0.75,0.77,-0.09,-0.95,-0.04,0.1,0.18,-0.07
Panama City,FL,30.1606294,-85.6602988,4.7,0.01,-0.19,0.06,0.21,0.55,-0.31,-0.12,3.46,0.58,(D),(D),0.02,-0.17
Parkersburg-Vienna,WV,39.3237687,-81.5538116,1.1,(D),(D),-0.27,(D),0.34,0.01,-0.08,0.9,0.78,-0.16,-0.01,0.04,-0.12
Pensacola-Ferry Pass-Brent,FL,30.4082401,-87.2684309,2.3,0.05,-0.18,0.09,0.01,0.28,-0.14,0.42,1.58,0.15,0.13,0.12,0.14,-0.31
Peoria,IL,40.6936488,-89.5889864,-1.2,-0.87,-0.04,0.52,0.25,(D),(D),0.03,-0.07,-0.47,-0.02,0,0,-0.22
Philadelphia-Camden-Wilmington,PA,39.5206974,-75.9787351,1.1,-0.01,-0.14,0.02,0.2,0.29,0.03,-0.11,0,0.55,0.3,0.04,0.03,-0.08
Phoenix-Mesa-Scottsdale,AZ,33.6361337,-112.1693248,1.8,-0.03,-0.26,0.15,0.04,0.43,-0.11,0.23,0.38,0.54,0.28,0.14,0.05,-0.06
Pine Bluff,AR,34.2284312,-92.0031955,-3,-0.96,-0.56,0.52,0.14,-0.78,-0.7,-0.01,-0.15,0.08,-0.31,0.04,0,-0.34
Pittsburgh,PA,40.445231,-79.9990561,2.9,1.4,-0.11,0.01,0.16,-0.03,0.07,0.16,0.93,0.21,0.09,0.13,-0.02,-0.08
Pittsfield,MA,42.4477299,-73.2483599,0.2,0.03,-0.06,0.27,-0.45,-0.05,0.05,0.03,0.02,-0.06,0.17,0.08,0.06,0.12
Pocatello,ID,42.8333549,-112.4017993,1.5,0.22,-0.27,-0.39,0.22,0.04,-0.07,0.07,0.86,0.4,0.41,0.03,-0.04,0.04
Portland-South Portland,ME,43.658615,-70.2613503,0,0.01,-0.11,-0.05,-0.18,0.38,0.02,0.01,-0.84,0.6,0.16,0.1,0.04,-0.1
Portland-Vancouver-Hillsboro,OR,45.5226526,-122.9861318,4.3,0.04,0.01,1.91,0.02,0.25,0.09,(D),0.44,1.08,0.22,0.06,(D),0.14
Port St. Lucie,FL,27.322511,-80.309102,1.1,-0.41,0.14,0.3,-0.09,0.59,-0.82,0.06,-0.21,0.69,0.61,0.11,0.16,-0.03
Prescott,AZ,34.5541253,-112.4710412,2.4,0.12,0.32,0.08,0,0.76,-0.06,-0.1,0.23,0.44,0.52,0.15,-0.02,-0.1
Providence-Warwick,RI,41.7074551,-71.5224611,1.5,0,-0.14,0.18,0.08,0.29,-0.03,0.08,0.09,0.77,0.16,0.11,0.04,-0.11
Provo-Orem,UT,40.2755205,-111.6874164,3.6,0.11,0.64,0.33,0.39,-0.14,0.03,1.03,-0.31,0.69,0.51,0.16,0.12,0.03
Pueblo,CO,38.2679268,-104.6070205,3.1,0.1,-0.07,0.58,0.01,0.62,0.39,-0.19,0.18,0.97,0.41,-0.06,-0.01,0.2
Punta Gorda,FL,26.8669803,-82.0004788,1.6,-0.32,0.55,-0.01,-0.04,0.21,0.08,0.04,1.05,0.08,0.41,-0.05,-0.38,-0.03
Racine,WI,42.7261309,-87.7828523,-1.4,0.11,0.15,0.3,-0.06,0.32,-0.08,-0.02,-2.07,-0.16,0.03,0.09,0.07,-0.05
Raleigh,NC,35.18287,-79.451823,2.6,0.07,-0.02,0.22,0.07,0.68,0.63,0,-0.04,0.8,0.17,0.08,0.02,-0.1
Rapid City,SD,44.0759039,-103.21885,1.3,-0.14,0,0.2,-0.07,0.59,0.04,0.06,0.01,0.29,0.24,-0.04,0.02,0.12
Reading,PA,40.3341335,-75.9404796,1.9,-0.14,0.04,0.15,0.04,0.35,0.28,0.02,0.29,0.69,0.3,0.01,0,-0.11
Redding,CA,40.4832865,-122.3250669,1.9,0.1,-0.52,0.05,-0.03,0.09,-0.09,0.23,0.69,0.59,0.39,0.05,-0.05,0.34
Reno,NV,39.5298937,-119.8143372,1.4,-0.41,0.33,-0.16,0.15,(D),0.29,0.09,(D),0.44,0.26,0.05,-0.02,-0.04
Richmond,VA,37.542981,-77.4433302,1.6,0.01,-0.12,(D),(D),0.31,0.09,0.03,0.93,0.28,0.38,-0.01,0.06,0.01
Riverside-San Bernardino-Ontario,CA,34.3737541,-117.6083484,2.9,-0.12,0.15,0.28,0.07,0.64,0.32,0.02,0.05,0.3,0.49,0.23,0.14,0.29
Roanoke,VA,37.1308,-80.4072,1.3,0.01,-0.12,-0.18,-0.18,0.37,0.11,-0.05,1.1,0.02,0.26,-0.09,0.04,0.02
Rochester,MN,44.0170544,-92.4632941,0.6,-0.2,-0.04,-0.71,-0.03,-0.37,-0.03,0.37,-0.26,0.18,1.41,0.1,0.08,0.07
Rochester,NY,43.16103,-77.6109219,-1,-0.01,-0.2,-0.23,-1.15,0.2,0.13,0.19,-0.5,0.33,0.27,-0.04,-0.01,0.01
Rockford,IL,42.2660265,-89.0796603,1,-0.3,0.05,-0.19,0.2,(D),(D),0.11,0.97,0.17,0.01,0.07,0.02,-0.26
Rocky Mount,NC,35.9382103,-77.7905339,-3.2,-0.12,-0.24,0.05,-2.15,-0.42,0.26,-0.2,-0.23,0.22,-0.16,0.03,-0.09,-0.11
Rome,GA,34.243149,-85.1662679,0.8,0,-0.03,-0.07,0.09,1.1,0.07,-0.09,-0.32,0.09,-0.15,0.12,0,-0.05
Sacramento--Roseville--Arden-Arcade,CA,38.897083,-121.2843124,0.9,-0.01,-0.11,0.3,0.07,-0.12,0.04,-0.29,-0.55,0.66,0.3,0.1,0.06,0.46
Saginaw,MI,43.6675215,-84.3685182,0,-0.19,0,-0.74,-0.03,0.63,0.57,-0.15,-1.27,0.86,-0.2,0.02,0.61,-0.12
St. Cloud,MN,45.5615646,-94.1569554,1.4,(D),0.35,0.06,0.14,0.47,0.22,-0.33,0.01,-0.04,0.71,(D),0.03,0.1
St. George,UT,37.1099629,-113.5835409,4,0.2,0.79,0.12,0.28,0.55,0.5,0.09,0.17,0.28,0.62,0.33,0.08,0.03
St. Joseph,MO,39.7679093,-94.8516753,1.7,0.51,0.03,(D),(D),(D),(D),0.09,-0.41,0.38,0.1,-0.02,0.04,-0.06
St. Louis,MO,38.6259609,-90.1922501,1.7,-0.09,-0.13,0.12,0.29,(D),(D),0.05,0.27,0.88,(D),0.04,-0.02,-0.13
Salem,OR,44.9413667,-123.0589501,2.4,-0.06,0.35,0.12,-0.12,0.59,0.12,-0.01,-0.39,0.49,0.66,0.1,0.01,0.49
Salinas,CA,36.679758,-121.651685,0.6,-0.92,0,0.07,0.16,0.02,-0.32,-0.17,0.29,0.58,0.24,0.36,0,0.24
Salisbury,MD,38.45536,-75.580546,0.5,-0.35,-0.11,(D),(D),0.18,0.59,0.07,-1.02,0.34,0.48,0.12,0.06,-0.04
Salt Lake City,UT,40.7736375,-111.8911871,2.2,0.02,-0.13,0.05,0.26,(D),(D),0.28,0.27,(D),0.01,0.1,0.08,0.05
San Angelo,TX,31.4682162,-100.4396072,11.4,(D),0.06,1.85,0.12,(D),(D),(D),0.36,1.09,0.18,0.16,0.23,-0.01
San Antonio-New Braunfels,TX,29.4194261,-98.4612798,3.8,0.93,0.07,0.11,-0.32,0.66,0.42,0.03,0.88,0.41,0.41,(D),0,0.02
San Diego-Carlsbad,CA,32.7425749,-117.1616513,1.4,-0.02,-0.04,0.3,0.57,0.34,-0.4,0.11,-0.64,0.56,0.21,0.2,0.07,0.14
San Francisco-Oakland-Hayward,CA,37.6755259,-122.0877505,5.2,-0.23,0.01,0.2,0.1,0.52,-0.04,1.21,0.83,2.05,0.16,0.16,0.03,0.17
San Jose-Sunnyvale-Santa Clara,CA,36.8503684,-121.399119,6.7,-0.01,-0.01,2.28,0.09,0.25,0.05,1.27,0.57,1.66,0.32,0.14,0.02,0.09
San Luis Obispo-Paso Robles-Arroyo Grande,CA,35.1221643,-120.6336722,2.5,-0.3,-0.2,0.02,0.82,0.46,-0.39,0.22,0.42,0.54,0.3,0.26,0.11,0.27
Santa Cruz-Watsonville,CA,36.9324068,-121.8141094,1.6,-0.32,0.03,0.24,-0.36,0.57,-0.05,0.19,0.32,-0.24,0.4,0.26,0.26,0.28
Santa Fe,NM,35.6869752,-105.937799,-2.5,0.45,-0.77,0,-0.02,-0.18,0.01,-1.08,-0.78,-0.34,0.25,0.04,0.07,-0.11
Santa Rosa,CA,38.436138,-122.722411,3.3,-0.24,-0.06,-0.11,0.78,1.03,0.09,0.18,0.43,0.5,0.38,0.21,-0.03,0.18
Savannah,GA,32.004568,-80.8434429,3.7,-0.01,-0.04,1.26,0.46,0.55,0.21,0.17,0.41,0.5,0.17,0.3,-0.08,-0.15
